                                                                                                                                                                                                                                  
  id   key                                                                                                 provider     diagnostic                                dirty   successful   created_at            updated_at           
 ──────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────────── 
  1    cmip6_ssp126                                                                                        esmvaltool   climate-at-global-warming-levels          False   True         2025-07-04 17:44:10   2025-07-04 17:52:35  
  2    cmip6_gn_r1i1p1f1_ACCESS-ESM1-5                                                                     esmvaltool   cloud-radiative-effects                   False   True         2025-07-04 17:44:10   2025-07-04 17:52:35  
  3    cmip6_gn_r1i1p1f1_ACCESS-ESM1-5                                                                     esmvaltool   enso-basic-climatology                    False   True         2025-07-04 17:44:11   2025-07-04 17:52:36  
  4    cmip6_gn_r1i1p1f1_ACCESS-ESM1-5                                                                     esmvaltool   enso-characteristics                      False   True         2025-07-04 17:44:11   2025-07-04 17:52:36  
  5    cmip6_gn_r1i1p1f1_ACCESS-ESM1-5                                                                     esmvaltool   equilibrium-climate-sensitivity           False   True         2025-07-04 17:44:11   2025-07-04 17:52:36  
  6    cmip6_CMIP6.C4MIP CDRMIP.CSIRO.ACCESS-ESM1-5.esm-1pct-brch-1000PgC.r1i1p1f1.Amon.tas.gn.v20191206   esmvaltool   global-mean-timeseries                    False   True         2025-07-04 17:44:11   2025-07-04 17:52:27  
  7    cmip6_CMIP6.C4MIP CDRMIP.MPI-M.MPI-ESM1-2-LR.esm-1pctCO2.r1i1p1f1.Amon.tas.gn.v20190815             esmvaltool   global-mean-timeseries                    False   True         2025-07-04 17:44:11   2025-07-04 17:52:27  
  8    cmip6_CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.1pctCO2.r1i1p1f1.Amon.tas.gn.v20191115                         esmvaltool   global-mean-timeseries                    False   True         2025-07-04 17:44:11   2025-07-04 17:52:28  
  9    cmip6_CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.abrupt-4xCO2.r1i1p1f1.Amon.tas.gn.v20191115                    esmvaltool   global-mean-timeseries                    False   True         2025-07-04 17:44:11   2025-07-04 17:52:28  
  10   cmip6_CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.Amon.tas.gn.v20191115                      esmvaltool   global-mean-timeseries                    False   True         2025-07-04 17:44:11   2025-07-04 17:52:28  
  11   cmip6_CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.piControl.r1i1p1f1.Amon.tas.gn.v20210316                       esmvaltool   global-mean-timeseries                    False   True         2025-07-04 17:44:11   2025-07-04 17:52:28  
  12   cmip6_CMIP6.CMIP.MPI-M.MPI-ESM1-2-LR.esm-piControl.r1i1p1f1.Amon.tas.gn.v20190815                   esmvaltool   global-mean-timeseries                    False   True         2025-07-04 17:44:11   2025-07-04 17:52:28  
  13   cmip6_CMIP6.ScenarioMIP.CSIRO.ACCESS-ESM1-5.ssp126.r1i1p1f1.Amon.tas.gn.v20210318                   esmvaltool   global-mean-timeseries                    False   True         2025-07-04 17:44:11   2025-07-04 17:52:28  
  14   cmip6_CMIP6.CMIP.CSIRO.ACCESS-ESM1-5.historical.r1i1p1f1.SImon.siconc.gn.v20200817                  esmvaltool   sea-ice-area-basic                        False   True         2025-07-04 17:44:11   2025-07-04 17:52:29  
  15   cmip6_gn_r1i1p1f1_ACCESS-ESM1-5                                                                     esmvaltool   transient-climate-response                False   True         2025-07-04 17:44:11   2025-07-04 17:52:30  
  16   cmip6_gn_r1i1p1f1_MPI-ESM1-2-LR                                                                     esmvaltool   transient-climate-response-emissions      False   True         2025-07-04 17:44:11   2025-07-04 17:52:30  
  17   cmip6_gn_r1i1p1f1_ACCESS-ESM1-5                                                                     esmvaltool   zero-emission-commitment                  False   True         2025-07-04 17:44:11   2025-07-04 17:52:30  
  18   cmip6_historical                                                                                    ilamb        gpp-wecann                                False   True         2025-07-04 17:44:11   2025-07-04 17:48:19  
  19   cmip6_historical                                                                                    ilamb        gpp-fluxnet2015                           False   True         2025-07-04 17:44:11   2025-07-04 17:47:39  
  20   cmip6_historical                                                                                    ilamb        mrro-lora                                 False   True         2025-07-04 17:44:11   2025-07-04 17:48:01  
  21   cmip6_historical                                                                                    ilamb        mrsos-wangmao                             False   True         2025-07-04 17:44:11   2025-07-04 17:48:09  
  22   cmip6_historical                                                                                    ilamb        csoil-hwsd2                               False   True         2025-07-04 17:44:11   2025-07-04 17:47:39  
  23   cmip6_historical                                                                                    ilamb        lai-avh15c1                               False   True         2025-07-04 17:44:11   2025-07-04 17:47:52  
  24   cmip6_historical                                                                                    ilamb        nbp-hoffman                               False   True         2025-07-04 17:44:11   2025-07-04 17:47:32  
